Abbreviation,Full-Form,Type,Pronunciation
DMMR,Deputy Ministry for Mineral Resources (Saudi Arabia),initialism,
DMP,Digital Map Products (Firm),initialism,
DMR,Dept. of Mineral Resources (New South Wales),initialism,
DMRS,Data Management and Retrieval System,initialism,
DMRT,Dept. of Mineral Resources of Thailand,initialism,
DMS,"Data Management System; Desktop Mapping System (R-WEL, Inc.); Drawing Management System; Defense Mapping School (USDMA); Defense Message System (USDoD); Distribution Management System; Degrees, minutes, seconds",initialism,
DMSI,Data Management Segment Interface Control Document,initialism,
DMSO,Defense Mapping School Operations Office (USDMA),initialism,
DMSP,Defense Meteorological Satellite Program,initialism,
DMT,Digital Mapping Techniques,initialism,
DMTI,Desktop Mapping Technologies Inc.,initialism,
DMU,Defense Mapping Unit (Singapore); Distance measuring unit,initialism,
DMW,"Daft, McCune, Walker",initialism,
DN,Digital Number,initialism,
DNC,Digital Nautical Chart,initialism,
DNPCT,Direction National de Production Cartographique et Topographique (Mali),initialism,
DNPM,Departamento Nacional de Produc~ao Mineral (Brazil),initialism,
DNR,Dept. of Natural Resources,initialism,
DNRC,Dept. of Natural Resources and Conservation (Montana),initialism,
DNREP,Dept. of Natural Resources and Environmental Protection (Kentucky),initialism,
DNT,Direccion Nacional de Topografia (Uruguay),initialism,
DO,Digital Ortho; District office,initialism,
DOA,Dept. of Agriculture,initialism,
DOC,Dept. of Commerce,acronym,
DOD,Dept. of Defense,initialism,
DOE,Dept. of Energy,initialism,
DOGAMI,Dept. of Geology and Mineral Industries (Oregon),initialism,
DOH,Dept. of Health,initialism,
DOI,Dept. of the Interior; Digital object identifier; Document object identifier,initialism,
DOM,Document Object Model,acronym,
DOMSAT,Domestic Communications Satellite System,acronym,
DOQ,Digital orthophoto quadrangle,initialism,
DOQQ,Digital orthophoto quarter quadrangle,initialism,
DORIS,"Decision-Oriented Resource Information System (Ventura County, Calif.); Doppler obitography and radiopositioning integrated by satellite",acronym,
DOS,Directorate of Overseas Surveys (U.K.); Dept. of State; Digital Orthophoto System; Disc Operating System,acronym,
DOSLI,Dept. of Survey and Land Information (New Zealand),acronym,
DOT,Dept. of Transportation,acronym,
DP,Data production; Digital Photogrammetry,initialism,
DPE,Data processing environment; data processing equipment,initialism,
DPED,Dept. of Planning and Economic Development,initialism,
DPI,Dots per inch,initialism,
DPIE,Dept. of Primary Industries and Energy (Australia),initialism,
DPL,Data Programming Language; Designated place,initialism,
DPMA,Data Processing Management Assn.,initialism,
DPPDB,Digital Point Positioning Data Base,initialism,
DPS,DEM Production System; Digital Production System (USDMA),initialism,
DPW,Dept. of public works,initialism,
DPWS,Digital Photogrammetric Work Station,initialism,
DQDB,Distributed-Queue Dual Buses,initialism,
DQQ,Digital Quarter Quadrangle,initialism,
DR,Data record(s); Direct Reflex (Trimble),initialism,
DRAPE,Digital Raster Acquisition Project for the East,acronym,
DRAPP,Denver Regional Aerial Photography Program,acronym,
DRBC,Delaware River Basin Commission,initialism,
DRC,Democratic Republic of Congo,initialism,
DRCOG,Denver Regional Council of Governments,initialism,
DRF,Digital Raster File,initialism,
DRG,Digital Raster Graphic; Davey Resource Group,initialism,
DRGM,Direction des Recherches gologiques et minires (Niger),initialism,
DRGP,Digital Representation of Graphic Products,initialism,
DRGS,Direct Readout Ground Station,initialism,
DRIS,Digital Research and Instructional Services (Univ. of Virginia),acronym,
DRO,Digital Revision Overlay,initialism,
DS,Digital subsystem,initialism,
DS/S,Data Services Segment,initialism,DS / S
DSD,Digital Sailing Directions,initialism,
DSDP,Deep Sea Drilling Project,initialism,
DSF,Delivery sequence file (U.S. Postal Service),initialism,
DSGM,Direcc~ao de Servicos de Geologia e Minas (Angola); Direccion del Servicio Geografico Militar (Paraguay),initialism,
DSGZ,Dept. of the Surveyor General (Zimbabwe),initialism,
DSIR,"Dept. of Scientific and Industrial Research (Australia, New Zealand)",initialism,D SIR
DSL,Dept. of Surveys and Lands (Botswana); Data Service Laboratory,initialism,
DSM,Directorate of Surveys and Mapping (South Africa); Dept. of Surveys and Mapping (Botswana); Digital stereo model; Digital surface model,initialism,
DSN,Deep Space Network; Dataset Name; Data source name,initialism,
DSNP,Dassault-Sercel NP,initialism,
DSP,Dept. of State Planning; Depository Services Program (Canada),initialism,
DSPW,Digital Photogrammetric Workstation (USCE),initialism,
DSS,Digital Sensor System (Applanix or EMERGE ),initialism,
DSSSL,Document Style Semantic and Specification Language,initialism,
DSU,Digital Standard Update,initialism,
DTAD,Digital Terrain Analysis Data,initialism,
DTD,Digital Terrain Data; Digital Topographic Data (Natural Resources Canada); Document Type Definition,initialism,
DTED,Digital Terrain Elevation Data (U.S. government),initialism,
DTG,Digital tape generation,initialism,
DTM,Digital Terrain Model (or Modeling),initialism,
DTOP,Digital Topographic Data,acronym,D TOP
DTS,Digital transmission system,initialism,
DTSS-P,Digital Topographic Support System Prototype,initialism,DTSS - P
DTW,Desk-top Workstation,initialism,
DUMC,Dutch Union Map Catalogue,initialism,
DV,Daily Value,initialism,
DVD,Digital video disc; Digital versatile disc,initialism,
DVNP,Death Valley National Park,initialism,
DVP,Digital Video Plotter,initialism,
DW,Data warehousing,initialism,
DWD,Deutscher Wetterdienst,initialism,
DWF,Drawing Web Format,initialism,
DWM,Digital Web Map (Idaho Geological Survey),initialism,
DWR,Dept. of Water Resources,initialism,
DXF,Drawing Interchange File; Digital Exchange Format,initialism,
DXM,Data eXchange Manager,initialism,
Del.,Delaware,acronym,Del.
Dep.,Deputy; Departement,acronym,Dep.
Dept.,Department,initialism,Dept.
DiAP,Digital Image Analytical Plotter (ISM),initialism,
Dinageca,Direcc~ao Nacional de Geografia e Cadastro (Mozambique),acronym,Dinageca
Dist.,District,initialism,Dist.
Div.,Division,initialism,Div.
Do.,Ditto (the same),initialism,Do.
Doc.,Document,initialism,Doc.
Dpt.,Department,initialism,Dpt.
Dr.,Drive,initialism,Dr.
DySIS,"Dynamic Software and Integrated Solutions, Inc.",initialism,Dy SIS
E,East; Electronic; Elevator (open); Einwohner = inhabitant,initialism,
E-N&N,Electronic News and Notes (WAML),initialism,E-N&N
E. St.,Eisenbahn Station = railway station,initialism,E. St.
E.D.,Eastern District,initialism,E.D.
E.F.,Eisenbahnfaehre,initialism,E.F.
E.M.,Mining Engineer,initialism,E.M.
E.N.E.,East-northeast,initialism,E.N.E.
E.S.E.,East-southeast,initialism,E.S.E.
EA,Environmental assessment,initialism,EA
EAC,Engineering Accreditation Commission (ABET),initialism,EAC
EAF,East African Force (UK),initialism,EAF
EAFS,Effective Aerial Film Speed,initialism,EAFS
EAOS,Environment Australia Online Service,initialism,EAOS
EAP,Environmental Affairs Program,initialism,EAP
EAS-E,Engineering and Survey-Exchange,initialism,EAS-E
EBAMCO,Electronic Book and Map Company,initialism,
EBCDIC,Extended Binary Coded Decimal Interchange Code,initialism,
EBR,Electron Beam Recorder,initialism,
EBRPD,East Bay Regional Park District (California),initialism,
EBX,Electronic book exchange,initialism,
EC,Electronic control; European Community; European Commission,initialism,
ECAI,Electronic Cultural Atlas Initiative,initialism,
ECDIS,Electronic Chart Display and Information System (U.S.),initialism,EC DIS
ECE,E. Coyote Enterprises,initialism,
ECEF,EarthCentered EarthFixed,initialism,
ECEY,"Every City, Every Year (Aerials Express)",initialism,
ECI,Election Commission of India,initialism,
ECPD,Engineering Council for Professional Development,initialism,
ECRF,Earth Centered Reference Frame,initialism,
ECS,Electronic Charting Systems (NOAA),initialism,
ED,Elevation data; Enumeration district,initialism,
EDA,Electronic design automation; Exploratory data analysis,initialism,
EDC,EROS Data Center (LIA); Electronic digital computer; Environmental Data Center (California),initialism,
EDD,Environmental Data Directory (Australia),initialism,
EDGE,"Energy Data Geographical Explorer (Petroconsultants, Inc.)",acronym,
EDI,Electronic Data Interchange; Electronic Devices Inc.,initialism,
EDIES,EROS Digital Image Enhancement Systems,acronym,
EDIFACT,"Electronic Data Interchange for Administration, Commerce and Transport",acronym,
EDINA,Edinburgh Data and Information Access,acronym,
EDIPS,EROS Digital Image Processing System,acronym,
EDIS,Environmental Data and Information Service; Electrical Distribution Information System (Santee Cooper),acronym,
EDITOR,ERTS Data Interpretation and Tenex Operations Recorder,acronym,
EDM,Electronic distance measurement; Electronic distance meter,initialism,
EDMAS,Environmental Dose Modeling and Analysis System,acronym,
EDMI,Electronic distance measuring instrument(s),initialism,
EDMS,Electronic document management system(s),initialism,
EDP,Electronic data processing,initialism,
EDS,Electronic Data Systems Corp.; Engineering Design System; Environmental Data Service (NOAA),initialism,
EDT,Eastern Daylight Time,initialism,
EEC,European Economic Community,initialism,
EEZ,Exclusive Economic Zone,initialism,
EFFIS,European Forest Fire Information System,initialism,
EGA,Enhanced Graphics Adaptor,initialism,
EGII,European Geographic Information Infrastructure,initialism,
EGIS,European GIS,initialism,
EGNOS,European Geostationary Navigation Overlay Service,acronym,
EGS,European Geophysical Society; Economic geology series,initialism,
EGSMA,Geological Survey and Mining Authority (Egypt),initialism,
EHS,Extremely hazardous materials,initialism,
EIGS,Ethiopian Inst. of Geological Survey,initialism,
EIM,Environmental information management,initialism,
EIS,Environmental Impact Statement; Environmental information system,initialism,
EIWG,Earth Imaging Working Group,initialism,
ELC,End of line code,initialism,
ELMO,Electronic Map Ordering,acronym,ELMO
EM,Electromagnetic,initialism,
EMA,Environmental Management Agency; Ethopian Mapping Authority,initialism,
EMAIL,Electronic Mail,acronym,
EMAP,Environmental Monitoring and Assessment Program (U.S. EPA),acronym,E MAP
EMC,Eastern Mapping Center (USGS),initialism,
EMF,Enhanced Meta Files (Windows),initialism,
EMIP,European Market for Infrastructural Projects,initialism,
EMMMA,"Environmental Mercury Mapping, Modeling and Analysis",initialism,
EMPS,Elevation Matrix Processing System,initialism,
EMR,"Dept. of Energy, Mines and Resources Canada; Electromagnetic radiation",initialism,
EMS,Electromagnetic spectrum; Engineering Mapping Solutions (Firm),initialism,
ENC,Electronic Navigational Charts (NOAA),initialism,
ENIAC,Electronic Numerical Integrator and Computer,initialism,
ENID,Endnote ID,initialism,E NID
ENSG,Ecole Nationale des Sciences Geographiques,initialism,
ENTR,Entrance,initialism,ENTR
ENVISAT,Environmental Satellite,initialism,EN VISAT
EO,Earth observation,initialism,
EOCAP,Earth Observations Commercial Applications Program,initialism,EO CAP
EODMS,Earth Observations Data Management Systems,initialism,
EOF,End of File,initialism,
EOS,Earth Observing System; Greek National Mountaineering Assn.,initialism,
EOSAT,Earth Observation Satellite (Company),initialism,EO SAT
EOSDIS,Earth Observing System Data and Information System,initialism,EOS DIS
EOT,End of Text,initialism,
EOTD,Enhanced observed time difference,initialism,
EP,End Point,initialism,
EPA,Environmental Protection Agency (U.S.),initialism,
EPB,Earth Physics Branch (Canada),initialism,
EPI,Electronic Position Indicator,initialism,
EPIRB,Emergency Position Indicating Radio Beacon,initialism,
EPP,Educational Partnership Program (Topcon),initialism,
EPS,Encapsulated PostScript,initialism,
ER,Economic region (Canada),initialism,
ERA,Electric Records Archives (NARA),initialism,
ERBS,Earth Radiation Budget Satellite (or Sensor),initialism,
ERCE,"Groupe d'Etudes de Recherches Critiques d'Espace (Universite du Quebec, Montreal)",initialism,
ERDAS,Earth Resources Data Analysis System,initialism,ER DAS
ERDC,Earth Resources Data Center (ERIM); Engineer Research and Development Center (USACE),initialism,
ERDL,Engineer Research and Development Laboratories,initialism,
EREP,Earth Resources Experiment Package (Skylab),initialism,
ERIM,Environmental Research Inst. of Michigan,initialism,E RIM
ERIN,Earth Resources Information Network; Environmental Resource Information Network (Australia),initialism,E RIN
ERIS,Earth Resources Inventory System; Earth Resources Infomation System,initialism,E RIS
ERL,Environmental Research Laboratories (NOAA); Earth Resources Laboratory (NASA),initialism,ERL
ERLAS,Earth Resources Laboratory Application Software,initialism,ER LAS
ERM,Earth Resource Mapping (Firm),initialism,ERM
EROS,Earth Resources Observation Satellite; Earth Resources Observation System,initialism,EROS
ERP,Enterprise resource planning,initialism,ERP
ERPANET,Electronic Resource Preservation and Access Network,initialism,ER PANET
ERR,Einsatzstab Reichsleiter Rosenberg fur die Besetzten Gebiete,initialism,ERR
ERRSAC,Eastern Regional Remote Sensing Applications Center (NASA),initialism,ERR SAC
ERS,Earth Remote Sensing (satellite),initialism,ERS
ERSAC,Environmental Remote Sensing Applications Centre (United Arab Emirates),initialism,ER SAV
ERSAL,Environmental Remote Sensing Analysis Laboratory (Oregon State Univ.),initialism,ER SAL
ERSAR,Earth Resources Synthetic Aperture Radar,initialism,ERSAR
ERSC,Egyptian Remote Sensing Center,initialism,ERSC
ERSP,Epipolar Rectified Stereo Pair,initialism,ERSP
ERSUN,"Environmental Remote Sensing Unit (British Aerospace Space Systems, Ltd.)",initialism,ER SUN
ERTS,Earth Resources Technology Satellite,initialism,ERTS
ES&T,Environmental Science and Technology,initialism,ES & T
ESA,Egyptian Survey Authority; European Space Agency; Earth Sciences Associates,initialism,ESA
ESC,European Seismological Commission,initialism,ESC
ESCAP,Economic and Social Commission for Asia and the Pacific,initialism,ES CAP
ESD,Engineering Services Dept. (Qatar),initialism,ESD
ESDA,Earth Sciences Data Standards (council); Exploratory spatial data analysis,initialism,ESDA
ESDD,Earth Science Data Directory (USGS),initialism,ESDD
ESDI,Earth Science Data Interface,initialism,ESDI
ESE,Earth Science Enterprise,initialism,E SE
ESEM,Earth Systems Engineering and Management,initialism,ESEM
ESI,EagleScan Inc.; Enironmental Sensitivity Index,initialism,ESI
ESIC,Earth Science Information Center (USGS); Earth Sciences Information Centre (Canada),initialism,ESIC
ESIG,Exemplary Systems in Government award (URISA),initialism,ESIG
ESIM,Earth Science Information Manager,initialism,E SIM
ESIN,Earth Science Information Network,initialism,E SIN
ESIO,Earth Science Information Office,initialism,E SIO
ESIP,Earth Science Information Partners,initialism,E SIP
ESIS,Earth Science Information System,initialism,E SIS
ESL,"Electromagnetic Systems Laboratories, Inc.",initialism,ESL
ESMI,European Spatial Metadata Infrastructure,initialism,ESMI
ESR,Engineering Surveys Reproduction Ltd.,initialism,ESR
ESRI,"Environmental Systems Research Inst., Inc.",initialism,ESRI
ESSA,Environmental Science Service Administration,initialism,ESSA
ESSC,Earth System Science Center (Pennsylvania State Univ.),initialism,ESSC
ESSHC,European Social Science History Conference,initialism,ESSHC
ESSI,Earth Search Sciences Inc.,initialism,ESSI
ESSIC,Earth System Science Interdisciplinary Center (Univ. of Maryland),initialism,ESSIC
EST,Eastern Standard Time,initialism,EST
ESV,EarthSystemsVisualizer,initialism,ESV
ET,Frame enclosed elevator with self-closing traps,initialism,ET
ETF,European Transfer Format,initialism,ETF
ETL,"Engineer Topographic Laboratories (USCE); Extract, transform, load",initialism,ETL
ETM,Enhanced Thematic Mapper,initialism,ETM
ETM+,Enhanced Thematic Mapper Plus,initialism,ETM +
EU,European Union,initialism,EU
EUB,Alberta Energy and Utilities Board,initialism,EUB
EUROGI,European Umbrella Organisation for Geographic Information,acronym,EUROGI
EVC,East View Cartographic (Firm),initialism,EVC
EVI,Enhanced vegetation index,initialism,EVI
EVO,"Ernst Volker (Oldenburg, Germany)",initialism,EVO
EWP,Executive Wilderness Programmes,initialism,EWP
EXIF,Extensible Image File Format,initialism,EXIF
Earthsat,Earth Satellite Corp.,acronym,Earthsat
Ed.,Editor; edition,initialism,E d.
EdUC,Education User Conference  (ESRI),initialism,E dUC
Eisb. Brck.,Eisenbahnbrucke = Railroad bridge,initialism,E isb. Brck.
El.W.,Elektrizitatswerk = electric power station,initialism,E l.W.
Eng. Dept.,Engineering Dept.; Dept. of Engineers,acronym,Eng. Dept.
Engr. Bn.,Engineer Battalion,initialism,Engr. Bn.
Ex. doc.,Executive document,initialism,Ex. doc.
F,Fahrenheit; Flat,initialism,F 
F.E.,Forest Engineer,initialism,F .E.
F.G.S.,Fellow of the Geological Society,initialism,F .G.S.
F.M.,Field Marshall,initialism,F .M.
F.O.,Field Officer; Foreign Office,initialism,F .O.
F.R.G.S.,Fellow of the Royal Geographical Society,initialism,F .R.G.S.
F.R.S.,Fellow of the Royal Society,initialism,F .R.S.
FA,Fire alarm box,initialism,F A
FAA,Federal Aviation Administration (U.S.),initialism,F AA
FAAT,Fully Analytical Aerotriangulation,acronym,FAAT
FAC,Feature analysis code(s),acronym,F AC
FACC,Feature and Attribute Coding Catalog,acronym,F ACC
FACE,Field Ancillary Computer Effort,acronym,F ACE
FACM,Florida Assn. of Cadastral Mappers,initialism,FACM
FACS,Feature Attribute Coding Standard; Feature Attribute Coding System,initialism,FACS
FAO,Food and Agricultural Organization (United Nations),initialism,F AO
FAPAR,Fraction of Absorbed Photosynthetically Active Radiation,acronym,FAPAR
FAQ,Frequently Asked Question(s),initialism,F AQ
FARC,Federal Archives and Record Center,initialism,FARC
FAS,Foreign Agricultural Service(USDA),acronym,FAS
FAST,Faceted Application of Subject Terminology,acronym,FAST
FB,Freytag-Berndt und Artaria,initialism,F B
FBN,Federal base network (U.S.),initialism,F BN
FC,Field component; Field completion,initialism,F C
FCC,False color composite; Federal Communications Commission (U.S.),initialism,F CC
FCM,Feature change map,initialism,F CM
FCT,Forestry Commission Tasmania,initialism,F CT
FCW,Federal Computer Week (journal),initialism,F CW
FDDI,Fiber Digital Data Interface,initialism,F DDI
FDEP,Florida Dept. of Environmental Protection,initialism,F DEP
FDIS,Formal Draft International Standard (ISO),initialism,F DIS
FDLP,Federal Depository Library Program (US GPO),initialism,FDLP
FDLS,Fiji Dept. of Lands and Survey,initialism,FDLS
FDPP,Framework Demonstration Projects Program (FGDC),initialism,F DPP
FE,Feature extraction; Field engineer; Frame enclosed elevator,initialism,F E
FEAT,Alternate Feature Identification Code,acronym,FEAT
FED,Federal electoral district (Canada); Field-emission displays,acronym,FED
FEE,Feature Extraction Environment,initialism,F EE
FEMA,Federal Emergency Management Agency (U.S.),acronym,F EMA
FEP,Feature Extraction Processor,acronym,FEP
FES,Feature Extraction Segment,initialism,F ES
FESWMS,Finite Element Surface Water Model System,initialism,FESWMS
FEWS,Feature Extraction Workstation,initialism,F EWS
FGCC,Federal Geodetic Control Committee (U.S.),initialism,FGCC
FGCS,Federal Geodetic Control Subcommittee (U.S.),initialism,FGCS
FGDC,Federal Geographic Data Committee (U.S.),initialism,FGDC
FGEF,Federal Geographic Exchange Format (U.S.),initialism,FGEF
FGI,Free Government Information (US),initialism,FGI
FGS,Florida Geological Survey,initialism,F GS
FGT,Federal Geographic Technology (U.S.),initialism,F GT
FH,Field headquarters,initialism,F H
FHA,Federal Highway Administration (U.S.),initialism,F HA
FHWA,Federal Highway Administration (U.S.),initialism,F HWA
FICCDC,Federal Interagency Coordinating Committee on Digital Cartography (U.S.),initialism,F ICCDC
FIG,Federation Internationale des Geom`etres = International Federation of Surveyors,initialism,F IG
FII,Fundacion Instituto de Ingeneiria,initialism,FII
FILS,Federal Government Information Locator System,acronym,
FIPS,Federal Information Processing Standard(s); Flagstaff Image Processing System,acronym,
FIRM,Flood Rate Insurance Map,acronym,
FIRMS,Flood Rate Insurance Maps,acronym,
FL,Florida; Focal length; Function libraries,initialism,
FLHO,Federal Lands Highway Office (U.S.),initialism,
FLI-IWG,Future of Land Imaging Interagency Working Group (US),initialism,FLI-IWG
FLIMAP,Fast Laser Imaging Mapping and Profiling (system),initialism,FLIMAP
FLIP,Flight Information Publication (NGA),acronym,
FLIR,Forward-looking Infrared,acronym,
FLL,Waterfall,initialism,
FLOPS,Floating Point Operations per Second,acronym,
FM,Facilities management; Field manual,initialism,
FMC,Federal Maritime Commission (U.S.),initialism,
FMCSA,Federal Motor Carrier Safety Administration (US),initialism,
FME,Feature Manipulation Engine (Safe Software Inc.),initialism,
FMGIS,Flight management geographic information system,initialism,FM GIS
FMLIS,Federal Mineral Lands Information System,initialism,FM LIS
FMP,Field Pack Mobile Professional (All Points Software),initialism,
FMS,Facility Mapping Systems Inc.; Flight Managing System,initialism,
FMS/AC,Facility Mapping System for AutoCAD,initialism,FMS / AC
FNC,Foreign Names Committee (USBGN),initialism,
FNESA,Federation of New England Surveyors Assn.s,initialism,F NESA
FNIB,Foreign Names Information Bulletin,initialism,
FNMOC,Fleet Numerical Meteorology and Oceanography Center (U.S.),initialism,
FO,Field office,initialism,
FOC,Full operational capability,initialism,
FOF,Filtering optical fiber,initialism,
FOGs,Fiber Optic Gyros,initialism,
FOM,Field Operations Manual,initialism,
FORTRAN,Formula Translation (computer language),acronym,
FOUO,For official use only,initialism,
FOV,Field of view,initialism,
FPC,Federal Power Commission; Federal Publishers Committee,initialism,
FPT,Full production training,initialism,
FPU,Floating point unit,initialism,
FRA,Federal Railroad Administration (U.S.),initialism,
FRAP,Fire and Resource Assessment Program (Calif. Dept. of Forestry and Fire Protection),initialism,
FRBR,Functional Requirements for Bibliographic Records (IFLA),initialism,
FRC,Federal Records Center (U.S.),initialism,
FRI,Forest Resource Inventory Map (Ontario),initialism,
FRM,Farm,initialism,
FRP,Federal Radio-navigation Plan,initialism,
FS,Fire station; Forest Service (U.S.); Federal Survey Div. (Nigeria),initialism,
FSA,Farm Service Agency (USDA),initialism,
FSLUPC,Federal/State Land Use Planning Commission for Alaska,initialism,
FSMS,Florida Surveying and Mapping Society,initialism,
FSO,Field Support Office (U.S. Army Engineer Topographic Laboratories),initialism,
FSPLS,Florida Society of Professional Land Surveyors,initialism,
FSR,Flight Summary Report,initialism,
FSRAMIS,Forest Service Range Management Information System,initialism,FSRAMIS
FT,Field terminator,initialism,
FTA,Federal Transit Administration (US),initialism,
FTL,Future Temporal Logic,initialism,
FTM,Foiben Taosarintanin' i Madagasikara,initialism,
FTP,File Transfer Protocol,initialism,
FU,Field unit,initialism,
FWPCA,Federal Water Pollution Control Administration (U.S.),initialism,
FWS,Fish and Wildlife Service (U.S.),initialism,
FYROM,Former Yugoslav Republic of Macedonia,acronym,FYROM
FZDS,Flood Zone Determination Services,initialism,
Fahrb.,Fahrbahn = roadway,initialism,
Fb.,Fabrik = Factory,initialism,
FedUC,Federal User Conference (ESRI),initialism,Fed Uc
Fla.,Florida,initialism,
Fth.,Fathom,initialism,
Fur.,Furlong,initialism,
Fw.,Fussweg = Footpath,initialism,
G,Geometry; Imperial guards,initialism,
G&M,Geography and Map; geography and Map Div.,initialism,
G&O,"Greenhorne & O'Mara, Inc.",initialism,G&O
G.M.,Grist mill,initialism,G.M.
G.M.S.I.,Ground Modeling Systems Inc.; Gandalf Mobile Systems Incorporated; GMSI Inc. is a firm (not an abbreviation),initialism,G.M.S.I.
G.M.T.,Giuseppi Maria Terreni,initialism,G.M.T.
G.T.,Gas tank,initialism,
GA,Georgia; Geographic access; Geographical Association,initialism,
GAC,Geological Assn. of Canada; Global Area Composite; Geospatial Advisory Committee (USFS),initialism,
GAF,Gesellschaft fur Angewandte Fernerkundung,acronym,
GAMS,GIS azimuth measuring system,acronym,
GANS,Geomatics Association of Nova Scotia,acronym,
GAP,Gap Analysis Program (USNBS); Geographic Application Program; Google Ancient Places,acronym,
GAT,Geography Assn. of Thailand,acronym,
GB,Gigabyte; Geologische Bundesanstalt (Austria),initialism,
GBA,"GeoBusiness Assn.; George Butler Associates, Inc.",initialism,
GBAMS,"GBS Master Series, Inc.",initialism,G BAMS
GBAUG,Greater Boston Autodesk User Group,initialism,
GBF,Geographic Base File,initialism,
GBFP,Georgia Basin Futures Project (Digital Library),initialism,
GBI,Green biomass index,initialism,
GBIS,Geo-Based Information System; Global Business Intelligence Solutions (IBM),initialism,
GBS,Geograpic Base System,initialism,
GBf,Guterbahnhof = freight depot,initialism,
GCCS,"Global Command, Control System (USDMA)",initialism,
GCDB,Geographic Coordinate Data Base (U.S.),initialism,
GCDIS,Global Change Data and Information System,initialism,
GCG,Geocartographics Subdivison (Canada),initialism,
GCHC,Gulf Coast Hydroscience Center (U.S.),initialism,
GCLI,GIS in Canadian Libraries Initiative,initialism,
GCM,General circulation model; Global climate model; General Command of Mapping (Turkey),initialism,
GCMC,Geospatial Center and Map Collection (Ball State University),initialism,
GCN1,"Canadian Geographical Names, Level 1",initialism,
GCP,Ground control point(s); Geodetic control point(s),initialism,
GCRA,Geographic and Cartographic Research and Applications Section,initialism,
GCRS,Gulf Centre for Remote Sensing (Firm),initialism,
GCSS,Global Combat Support System,initialism,
GCT,Greenwich Civil Time,initialism,
GCTP,General Coordinate Transformation Package (software); Geographic Coordinate Transformation Package (software),initialism,
GD,Geologic Div. (USGS); Geospatial data; Graphic digitization,initialism,
GDA,Geographic Data Analysis System,initialism,
GDAL,Geospatial Data Abstraction Library,initialism,
GDC,Geographic Data Council,initialism,
GDD,Graphics Data Display Manager; GIS Data Depot,initialism,
GDDD,Geographical Data Description Directory,initialism,
GDE,"Graphic Developer's Engine (FCAD Software, Inc.)",initialism,
GDF,Geographic data file,initialism,
GDHS,Ground Data Handling System (GFSC),initialism,
GDM,Geospatial data management,initialism,
GDN,Geography Discipline Network,initialism,
GDS,Graphic Data Systems Corp; Grumman Data Systems; Geo-Data System; Geographic Data Service (U.S.),initialism,
GDT,Geographic Data Technology Inc.; Geophysical diffraction tomography,initialism,
GDTA,Groupement pour le Developpement de la Teledetection Aerospatiale (France),initialism,
GE,General Electric; Geographic equivalent; Google Earth,initialism,
GEBCO,General bathymetric chart of the oceans = Carte generale bathymetrique des oceans,initialism,
GECCo,"Geospatially Enabling Community Collaboration (program, GITA)",initialism,
GEDS,General Environmental Data Base System (Florida),initialism,
GEGMR,General Establishment of Geology and Mineral Resources (Syria),initialism,
GEHC,Grup d'Estudia d'Historia de la Cartografia,initialism,
GEM,Graphical Environment Manager,acronym,
GEMS,Global Environment Monitoring System; GeoMap Society,acronym,
GEO,Geospatial Metadata Application Profile (USA); Geostationary Earth orbit; Global Environment Outlook,acronym,
GEO-CAT,Geographic catalog of political and statistical areas,acronym,GEO - CAT
GEOBAL,Servicio Geologico de Bolivia,acronym,GEOBAL
GEODESY,Geospatial Data and Exploration System (Harvard Univ.),initialism,GEODESY
GEOINT,Geographical intelligence,acronym,GEOINT
GEOLAN,Geological (survey) local area network,acronym,GEOLAN
GEOREF,Geological Reference (system),initialism,GEO REF
GEOS,Geodynamics Experimental Ocean Satellite,initialism,GEOS
GEOSAT,Geodesy Satellite,acronym,GEO SAT
GEOSEC,Geographic Security,acronym,GEO SAC
GEOZAVOD,Zavod za Geoloska i Geofizicksa Istrazivanja (Yugoslavia),initialism,GEO ZAVOD
GEP,Google Earth Pro,acronym,
GES,Geographic Entry System,acronym,
GFDL,Geophysical Fluid Dynamics Laboratory (U.S.),initialism,GFDL
GFOSS,Geospatial Free and Open Source Software,initialism,G FOSS
GGBR,Golden Gate Biosphere Reserve (Calif.),initialism,
GGMC,Guyana Geology and Mines Commission,initialism,
GGNRA,Golden Gate National Recreation Area (Calif.),initialism,
GGRF,Galileo Geodetic Reference Frame,initialism,
GGS,Georgia Geologic Survey,initialism,
GGU,Gronlands Geologiske Undersogelse,initialism,
GI,Geographic information; Geospatial information,initialism,
GIA,Geographic information analysis; Geographic information and analysis; GPS International Assn.; Geomatics Industry Association,initialism,
GIAA,Geometrics Industry Assn. of America,initialism,
GIAC,Geomatics Industry Assn. of Canada; Geographic Information Advisory Council (Kentucky),initialism,
GIAL,"Geographic Information and Analysis Laboratory (State Univ. of New York, Buffalo)",initialism,
GIB,Geographic Information Board (Florida); Geomagnetic Indices Bulletin; G.I. Barnett & Son,initialism,
GICC,Geographic Information Coordinating Committee (Colorado),initialism,
GICS,Geographic Identification Code Scheme,initialism,
GID,Geodaetisk Institut (Denmark),initialism,
GIDW,General inverse-distance weighted interpolation model,initialism,
GIFTS,Geosynchronous Imaging Fourier Transform Spectrometer,acronym,
GIG,Geologic Inquiries Group,initialism,
GILS,Government Information Locator Service,acronym,
GIMS,Geographic Information Management Systems Committee (ASCM/ASPRS),acronym,
GINIE,Geographic Information Network in Europe,acronym,
